id,channelNum,display-name,url
1119.stations.xmltv.tvmedia.ca,81-9,TBN  - Trinity Broadcasting Network - East,
620.stations.xmltv.tvmedia.ca,81-11,EWTN USA,
19522.stations.xmltv.tvmedia.ca,81-12,TBN Inspire,www.tbn.org
3423.stations.xmltv.tvmedia.ca,81-13,C-SPAN 3,www.c-span.org/
1523.stations.xmltv.tvmedia.ca,81-15,SHOPHQ,www.vvtv.com
1082.stations.xmltv.tvmedia.ca,81-18,INSP,
19066.stations.xmltv.tvmedia.ca,81-19,Three Angels Broadcasting Network,www.3abn.org/
8584.stations.xmltv.tvmedia.ca,82-14,"PBS (WTTW) Chicago, IL HD",www.networkchicago.com/wttw/
8590.stations.xmltv.tvmedia.ca,82-16,"Create (WTTW-DT3) Chicago, IL",
8591.stations.xmltv.tvmedia.ca,82-18,"PBS Kids (WTTW4) Chicago, Il",
4604.stations.xmltv.tvmedia.ca,83-1,"Corner Store (WAOE) Central Illinois, IL HD",
33167.stations.xmltv.tvmedia.ca,83-3,"The Grio (WAOE2) Peoria, IL",
1050.stations.xmltv.tvmedia.ca,87,C-SPAN 2,www.c-span.org
3423.stations.xmltv.tvmedia.ca,88,C-SPAN 3,www.c-span.org/
19066.stations.xmltv.tvmedia.ca,90,Three Angels Broadcasting Network,www.3abn.org/
19522.stations.xmltv.tvmedia.ca,91,TBN Inspire,www.tbn.org
1119.stations.xmltv.tvmedia.ca,92,TBN  - Trinity Broadcasting Network - East,
1082.stations.xmltv.tvmedia.ca,93,INSP,
620.stations.xmltv.tvmedia.ca,94,EWTN USA,
4603.stations.xmltv.tvmedia.ca,94-1,"Corner Store (WAOE) Central Illinois, IL",
4595.stations.xmltv.tvmedia.ca,94-2,"ABC (WEEK-TV2) Peoria, IL",www.week.com
4601.stations.xmltv.tvmedia.ca,94-4,"NBC (WEEK) Bloomington, IL",www.week.com/
4597.stations.xmltv.tvmedia.ca,94-6,"FOX (WYZZ) Bloomington, IL",
4599.stations.xmltv.tvmedia.ca,94-8,"CBS (WMBD) Central Illinois, IL",www.wmbd.com/
17744.stations.xmltv.tvmedia.ca,94-17,"CW (Week-TV3) Peoria, IL",www.week.com
6188.stations.xmltv.tvmedia.ca,95-1,Local Programming,
648.stations.xmltv.tvmedia.ca,96,C-SPAN,www.c-span.org
1606.stations.xmltv.tvmedia.ca,100-2,"FOX (WFLD) Chicago, IL",
1831.stations.xmltv.tvmedia.ca,100-12,"NBC (WMAQ) Chicago, IL",www.nbc5.com/
1832.stations.xmltv.tvmedia.ca,100-24,"PBS (WTTW) Chicago, IL",www.networkchicago.com/wttw/
6115.stations.xmltv.tvmedia.ca,101-1,QVC HD,www.qvc.com
17312.stations.xmltv.tvmedia.ca,102-1,"GetTV (WYZZ-TV3) Peoria, IL",
4596.stations.xmltv.tvmedia.ca,102-4,"ABC (WEEK-DT2) Peoria, IL HD",www.week.com
4598.stations.xmltv.tvmedia.ca,102-6,"FOX (WYZZ) Bloomington, IL HD",
19128.stations.xmltv.tvmedia.ca,102-12,"CW (Week-DT3) Peoria, IL HD",www.week.com
17745.stations.xmltv.tvmedia.ca,102-14,"TBD TV (WHOI) Peoria, IL",www.hoinews.com/
17745.stations.xmltv.tvmedia.ca,103,"TBD TV (WHOI) Peoria, IL",www.hoinews.com/
4602.stations.xmltv.tvmedia.ca,103-2,"NBC (WEEK) Bloomington, IL HD",www.week.com/
4600.stations.xmltv.tvmedia.ca,103-4,"CBS (WMBD) Central Illinois, IL HD",www.wmbd.com/
33167.stations.xmltv.tvmedia.ca,106,"The Grio (WAOE2) Peoria, IL",
17312.stations.xmltv.tvmedia.ca,112,"GetTV (WYZZ-TV3) Peoria, IL",
10602.stations.xmltv.tvmedia.ca,113,"Bounce (WMBD-TV2) Central Illinois, IL",www.wmbd.com/
4584.stations.xmltv.tvmedia.ca,118,"Create (WILL-TV3) Urbana, IL",www.will.uiuc.edu/
8324.stations.xmltv.tvmedia.ca,119,"PBS Kids 24/7 (WILL-TV2) Urbana, IL",www.will.uiuc.edu/
1832.stations.xmltv.tvmedia.ca,120,"PBS (WTTW) Chicago, IL",www.networkchicago.com/wttw/
8590.stations.xmltv.tvmedia.ca,121,"Create (WTTW-DT3) Chicago, IL",
8591.stations.xmltv.tvmedia.ca,122,"PBS Kids (WTTW4) Chicago, Il",
14969.stations.xmltv.tvmedia.ca,125,H&I - Heroes & Icons Network,
9969.stations.xmltv.tvmedia.ca,127,NBC Sports Chicago Plus,
8822.stations.xmltv.tvmedia.ca,160,Big Ten Network Overflow 1,www.bigtennetwork.com
8823.stations.xmltv.tvmedia.ca,161,Big Ten Network Overflow 2,www.bigtennetwork.com
2108.stations.xmltv.tvmedia.ca,169,ESPN Deportes,
3115.stations.xmltv.tvmedia.ca,171,CBS Sports Network USA,
3352.stations.xmltv.tvmedia.ca,172,Stadium College Sports - Atlantic,www.foxsports.com
3351.stations.xmltv.tvmedia.ca,173,Stadium College Sports - Central,www.foxsports.com
3350.stations.xmltv.tvmedia.ca,174,Stadium College Sports - Pacific,www.foxsports.com
2075.stations.xmltv.tvmedia.ca,177,Sportsman Channel,www.thesportsmanchannel.com
3331.stations.xmltv.tvmedia.ca,178,ESPN U,www.espn.com
2114.stations.xmltv.tvmedia.ca,179,Fox Sports 2,www.foxsports.com
1649.stations.xmltv.tvmedia.ca,182,MSG (Madison Square Gardens),www.msgnetwork.com
1953.stations.xmltv.tvmedia.ca,185,YES Network,www.yesnetworktv.com
3349.stations.xmltv.tvmedia.ca,186,NFL Network,
6921.stations.xmltv.tvmedia.ca,187,NFL RedZone,www.nfl.com/ticket/
13711.stations.xmltv.tvmedia.ca,188,SEC Network,www.secdigitalnetwork.com/
13759.stations.xmltv.tvmedia.ca,189,SEC Network Alternate,www.secdigitalnetwork.com/
10853.stations.xmltv.tvmedia.ca,195,beIN Sport USA,
10855.stations.xmltv.tvmedia.ca,196,beIN Sport en Espanol,
4349.stations.xmltv.tvmedia.ca,197,Universal Kids,
2268.stations.xmltv.tvmedia.ca,198,Boomerang,
4225.stations.xmltv.tvmedia.ca,201,Discovery Family Channel,
1969.stations.xmltv.tvmedia.ca,203,Nick Jr. - East,
2010.stations.xmltv.tvmedia.ca,206,Nicktoons - East,
1954.stations.xmltv.tvmedia.ca,207,TeenNick - Eastern,
6335.stations.xmltv.tvmedia.ca,208,Qubo,
32612.stations.xmltv.tvmedia.ca,219,"Shop LC (WLWT3) Cincinnati, OH",www.wlwt.com/
615.stations.xmltv.tvmedia.ca,226,BBC America - East,www.bbcamerica.com
6828.stations.xmltv.tvmedia.ca,227,Daystar  - Network,
618.stations.xmltv.tvmedia.ca,228,Esquire Network - Eastern,WWW.EONLINE.COM
2707.stations.xmltv.tvmedia.ca,232,Lifetime Real Women East,www.mylifetime.com
1966.stations.xmltv.tvmedia.ca,233,Independent Film Channel US,
176.stations.xmltv.tvmedia.ca,235,Turner Classic Movies USA,www.tcm.com
1308.stations.xmltv.tvmedia.ca,236,FX Movie Channel,www.fxnetworks.com/fxm
527.stations.xmltv.tvmedia.ca,237,BBC News - North America,www.bbcworld.com
11294.stations.xmltv.tvmedia.ca,238,Fusion,
2673.stations.xmltv.tvmedia.ca,239,RFD-TV,www.rfdtv.com
2074.stations.xmltv.tvmedia.ca,241,Destination America,www.destinationamerica.com
1159.stations.xmltv.tvmedia.ca,243,Oprah Winfrey Network USA Eastern,
1960.stations.xmltv.tvmedia.ca,245,Science,
